Stock,RawStock,Horizon,Tag,Entry,EntryZone,Qty,Risk,RSI,Vol vs 50d,EqSL,EqT1,EqT2,EqT3,EqT4,EqT5,Opt,Prem,PT1,PT2,PT3,PT4,PT5,OptSL,Score,TL_D1,TL_V1,TL_V2
INDHOTEL (↑),INDHOTEL,BTST,🌙 Strong Close BTST (⭐ 2x Size),746.8,₹722.7 - ₹746.8 (🎯 ₹726.4),66,1003.2,67.0,1.62,731.6,759.2,769.2,781.5,797.8,820.4,750 CE,11.26,18.4,25.5,35.7,50.6,72.6,5.3,10,,,0.0
DIVISLAB (↑),DIVISLAB,Pre-Breakout,💥 Pre-Breakout Coil (📉 +RSI Div) 🏆 Super-Trend 🚀 Sector-Leader,9431.5,₹9412.8 - ₹9506.2 (🎯 ₹9440.8),2,373.6,59.5,0.64,9244.7,9638.1,9794.5,10001.1,10289.4,10709.5,9400 CE,192.67,329.1,454.6,640.2,918.7,1336.6,104.1,10,,,0.0
PVRINOX (↑),PVRINOX,Pre-Breakout,🔥 Squeeze Breakout,1351.0,₹1346.5 - ₹1369.1 (🎯 ₹1353.3),18,811.8,62.3,0.63,1305.9,1396.1,1430.9,1476.1,1538.0,1626.9,1360 CE,44.75,70.7,94.9,131.0,186.2,271.7,25.6,10,,,0.0
PNB (↑),PNB,Pre-Breakout,🗜️ TTM Squeeze Coil (📉 +RSI Div),118.4,₹118.2 - ₹119.2 (🎯 ₹118.5),211,443.1,62.2,0.52,116.3,120.0,121.3,122.8,124.8,127.6,120 CE,1.24,2.0,2.8,3.8,5.5,8.0,5.0,10,,,0.0
APOLLOHOSP (↑),APOLLOHOSP,Pre-Breakout,🗜️ TTM Squeeze Coil 🚀 Sector-Leader,8924.0,₹8794.5 - ₹8924.0 (🎯 ₹8830.3),2,286.6,58.8,0.6,8780.7,9026.6,9112.0,9214.6,9345.3,9521.3,8900 CE,138.71,204.9,269.6,356.5,477.0,648.2,70.6,8,,,0.0
GRANULES (↑),GRANULES,Swing,🔄 Breakout Retest 🚀 Sector-Leader,878.75,₹863.5 - ₹878.8 (🎯 ₹870.4),28,928.2,59.0,0.51,845.6,902.5,921.4,945.2,976.8,1021.1,880 CE,26.06,40.2,53.7,73.0,101.4,144.1,12.2,8,,,0.0
BANDHANBNK (↑),BANDHANBNK,Pre-Breakout,💥 Pre-Breakout Coil,179.74,₹179.2 - ₹181.8 (🎯 ₹180.0),139,700.56,77.9,1.0,174.7,184.4,188.0,192.6,198.8,207.6,180 CE,4.93,7.7,10.3,14.1,19.7,28.2,5.0,7,,,0.0
LALPATHLAB (↑),LALPATHLAB,Pre-Breakout,🌱 Base Ignition (📉 +RSI Div) 🚀 Sector-Leader,1921.0,₹1905.7 - ₹1921.0 (🎯 ₹1921.0),13,538.2,54.8,1.0,1879.6,1963.5,1997.7,2040.1,2095.9,2173.3,1920 CE,55.5,80.8,104.8,138.4,187.3,260.5,36.0,7,,,0.0
LAURUSLABS (↑),LAURUSLABS,Pre-Breakout,💥 Pre-Breakout Coil 🏆 Super-Trend 🚀 Sector-Leader,2018.7,₹2013.7 - ₹2038.5 (🎯 ₹2021.2),12,595.2,67.4,1.0,1969.1,2066.1,2103.0,2150.4,2214.8,2306.8,2000 CE,57.81,89.8,119.1,160.8,221.9,312.7,32.5,7,,,0.0
ADANIPORTS (↑),ADANIPORTS,Pre-Breakout,💥 Pre-Breakout Coil,1793.3,₹1729.8 - ₹1793.3 (🎯 ₹1740.0),13,529.1,70.5,0.93,1752.6,1836.8,1869.9,1913.5,1973.8,2061.4,1800 CE,36.95,62.8,87.1,124.0,180.4,266.7,19.9,7,,,0.0
